id,groupid,groupname,boardid,boardname,lat,long,status,lastupdate,note,comment
180,group4,鎌倉市,13-2,七里ガ浜東二丁目8番,35.3068232,139.5116948,4,,田辺公園フェンス,
181,group4,鎌倉市,13-3,七里ガ浜東二丁目2番7号,35.3059172,139.5109636,5,,七里ガ浜ポンプ場塀                                       ｀,
182,group4,鎌倉市,13-4,七里ガ浜二丁目12番,35.3084953,139.5069235,6,,七里ガ浜かめ公園フェンス,
183,group4,鎌倉市,13-5,七里ガ浜二丁目2番,35.308114,139.508832,0,,七里ガ浜かもめ公園フェンス,
184,group4,鎌倉市,13-6,七里ガ浜二丁目4番,35.3090162,139.5087524,1,,広町緑地,
185,group4,鎌倉市,13-7,七里ガ浜二丁目21番,35.3084836,139.5035043,2,,七里ガ浜二丁目公園フェンス,
186,group4,鎌倉市,14-1,七里ガ浜東三丁目13番,35.3114783,139.5193296,4,,七里ガ浜東三丁目公園石垣,
187,group4,鎌倉市,14-2,七里ガ浜東四丁目1番,35.3099186,139.516705,5,,七里ガ浜東いるか公園石垣,
188,group4,鎌倉市,14-3,七里ガ浜東五丁目1番,35.3112251,139.5135239,6,,七里ガ浜東五丁目公園フェンス,
189,group4,鎌倉市,14-4,七里ガ浜東四丁目35番,35.3139676,139.5169436,0,,七里ガ浜東つつじ公園植込み,
190,group4,鎌倉市,14-5,七里ガ浜東四丁目34番,35.3134965,139.5170232,1,,七里ガ浜東四丁目公園フェンス,
191,group4,鎌倉市,14-6,七里ガ浜東五丁目8番,35.3127593,139.5144782,2,,七里ガ浜東あざらし公園石垣,
192,group4,鎌倉市,14-7,七里ガ浜東三丁目6番3号,35.3083866,139.5187216,1,,牧野宅擁壁,
193,group4,鎌倉市,15-1,腰越一丁目10番,35.3074728,139.4992108,2,,腰越ふぐ公園フェンス,
194,group4,鎌倉市,15-2,腰越二丁目10番7号,35.3073265,139.493516,4,,浄泉寺塀,
195,group4,鎌倉市,15-3,腰越三丁目5番,35.3087717,139.4903066,5,,腰越ちどり公園フェンス,
196,group4,鎌倉市,15-4,腰越二丁目26番,35.3094158,139.4947585,6,,神戸川転落防止柵,
197,group4,鎌倉市,15-5,腰越五丁目7番1号,35.3126797,139.4925822,0,,腰越小学校西側フェンス,
198,group4,鎌倉市,15-6,腰越五丁目7番1号,35.3126797,139.4925822,1,,腰越小学校フェンス,
199,group4,鎌倉市,15-7,腰越五丁目6番5号,35.3115745,139.4929073,2,,中川宅フェンス,
200,group4,鎌倉市,16-1,腰越四丁目11番20号,35.3128131,139.4980182,4,,腰越中学校正門脇フェンス,
201,group4,鎌倉市,16-2,津460番地2,35.3126737,139.5089115,5,,津2-2号緑地,
202,group4,鎌倉市,16-3,津西ー丁目12番,35.3154727,139.4987337,6,,津西まつむし公園フェンス,
203,group4,鎌倉市,16-4,腰越864番地,35.3133521,139.5006819,0,,腰越行政センター植込み,
204,group4,鎌倉市,16-5,津西一丁目9番,35.3169305,139.5027092,1,,白山橋付近神戸川転落防止柵,
205,group4,鎌倉市,16-6,津601番地86,35.3136915,139.504691,2,,丹後ガ谷やまばと公園脇転落防止柵,
206,group4,鎌倉市,16-7,津西二丁目16番,35.3159245,139.49611,1,,諏訪ヶ谷青少年広場,
207,group4,鎌倉市,16-8,腰越1677番地22,35.3143814,139.505501,2,,御所たぬき公園フェンス,
208,group4,鎌倉市,17-1,西鎌倉二丁目17番,35.324916,139.5039814,4,,西鎌倉二丁目公園フェンス,
209,group4,鎌倉市,17-2,西鎌倉三丁目10番,35.320577,139.5008804,5,,（有）中央地所管理駐車場,
210,group4,鎌倉市,17-3,西鎌倉二丁目13番2号,35.3210965,139.501278,6,,高島宅塀,
211,group4,鎌倉市,17-4,西鎌倉三丁目5番,35.3191537,139.4991312,0,,西鎌倉三丁目公園フェンス北,
212,group4,鎌倉市,17-5,西鎌倉四丁目17番地,35.3204609,139.4973821,1,,腰越配水地フェンス,
213,group4,鎌倉市,17-6,西鎌倉四丁目20番,35.3172975,139.495951,2,,西鎌倉すずめ公園フェンス,
214,group4,鎌倉市,17-7,西鎌倉一丁目16番,35.3218445,139.5058103,4,,西鎌倉下水処理場,
215,group4,鎌倉市,18-1,腰越1330番地241,35.3212797,139.5088168,5,,猫池住宅入口調整池フェンス,
216,group4,鎌倉市,18-2,西鎌倉一丁目20番,35.3194131,139.504383,6,,モノレール西鎌倉駅フェンス,
217,group4,鎌倉市,18-3,津1037番地31,35.3175772,139.5062259,0,,がんだがや南公園フェンス,
218,group4,鎌倉市,18-4,腰越1525番地9,35.3181865,139.5117042,1,,西鎌倉山南公園フェンス,
219,group4,鎌倉市,18-5,津1069番地224,35.3241207,139.5066141,2,,鎌倉山西公園フェンス,
220,group4,鎌倉市,18-6,腰越1330番地付近,35.3212797,139.5088168,1,,西鎌倉山うぐいす公園フェンス,
221,group4,鎌倉市,18-7,津1039番地30,35.3190865,139.5089733,2,,津1号緑地（新錬倉山バス停付近）,
222,group4,鎌倉市,19-1,鎌倉山三丁目614番地1,35.3201538,139.5146373,4,,鎌倉山材料倉庫                          、,
223,group4,鎌倉市,19-2,鎌倉山四丁目8番,35.324895,139.5132058,5,,グランダ鎌倉山前歩道フェンス,
224,group4,鎌倉市,19-3,笛田二丁目38番20号,35.3212851,139.5175138,6,,あおぞら園フェンス,
225,group4,鎌倉市,19-4,鎌倉山三丁目22番,35.3192742,139.5135239,0,,鎌倉山かりん公園フェンス,
226,group4,鎌倉市,19-5,鎌倉山三丁目1番,35.3166245,139.5147963,1,,鎌倉山石碑正面歩道フェンス,
227,group4,鎌倉市,19-6,鎌倉山一丁目15番13号,35.3185112,139.5197682,2,,鎌倉山集会所フェンス,
228,group4,鎌倉市,19-7,鎌倉山一丁目6番29号,35.3199335,139.521296,4,,笛田公園入口横法地,
229,group4,鎌倉市,20-1,手広一丁目16番12号,35.3277214,139.5095997,5,,鎌倉消防署深沢出張所フェンス,
230,group4,鎌倉市,20-2,手広一丁目23番,35.3289641,139.51082,6,,谷際運動広場フェンス,
231,group4,鎌倉市,20-3,手広一丁目5番,35.3302904,139.5116152,0,,手広なのはな公園フェンス,
232,group4,鎌倉市,20-4,手広四丁目35番,35.3277867,139.5044187,1,,西ヶ谷わらび公園脇転落防止柵,
233,group4,鎌倉市,20-5,手広ー丁目16番12号,35.3277452,139.5063669,2,,鎌倉消防署深沢出張所隣塀,
234,group4,鎌倉市,20-6,笛田一丁目2番23号,35.3303826,139.5131908,1,,日通フェンス,
235,group4,鎌倉市,20-7,手広四丁目38番,35.326618,139.5051741,2,,西ヶ谷あやめ公園フェンス,
236,group4,鎌倉市,21-1,笛田二丁目17番1号,35.3245337,139.516022,4,,教養センター植込み,
237,group4,鎌倉市,21-2,笛田三丁目1番33号,35.3299761,139.5179263,5,,神奈川スバルフェンス,
238,group4,鎌倉市,21-3,梶原630番地,35.3330605,139.5164131,6,,深沢小学校入口交差点横フェンス,
239,group4,鎌倉市,21-4,梶原一丁目11番1号,35.3308878,139.5205455,0,,深沢小学校フェンス,
240,group4,鎌倉市,21-5,常盤111番地3,35.3310744,139.5187517,1,,深沢行政センターフェンス,
241,group4,鎌倉市,21-6,笛田四丁目14番,35.3257425,139.5215566,2,,上関公園フェンス,
242,group4,鎌倉市,21-7,笛田三丁目23番,35.3276196,139.5221134,4,,市営笛田住宅フェンス,
243,group4,鎌倉市,22-1,笛田五丁目32番,35.3199647,139.5250564,5,,びわだ南公園柵,
244,group4,鎌倉市,22-2,常盤937番地224,35.3217604,139.5313728,6,,（仮称）常盤緑地［仲ノ坂交差点付近掲示板脇植込み］,
245,group4,鎌倉市,22-3,笛田五丁目38番30号,35.3206317,139.5276318,0,,鎌倉ポンプ場フェンス,
246,group4,鎌倉市,22-4,笛田五丁目10番,35.3214662,139.5252155,1,,びわだ北公園フェンス,
247,group4,鎌倉市,22-5,常盤947番地,35.3220469,139.5329952,2,,常盤緑地前転落防止柵,
248,group4,鎌倉市,22-6,常盤386番地,35.323171,139.5292723,1,,東京電カパワーグリッド鎌倉変竃所フェンス,
249,group4,鎌倉市,22-7,常盤922番地2,35.3207971,139.5341198,2,,（仮称）常盤緑地［常盤922番地15付近掲示板脇植込み］,
250,group4,鎌倉市,23-1,梶原二丁目26番,35.3283285,139.5281587,4,,梶原やまぽうし公園植込み,
